N,Initialisation,Iterated Local Search,Iterative Improvement,Threshold Acceptance
100,LEH,9.223817539926236,10.626816725313798,7.5863904486399605
100,NNH,7.956979044230242,8.087526128998869,7.691357887169047
100,Random,9.398077097508267,10.289539532401562,7.865327777782673
100,SEH,7.598804902606691,7.613245743701629,7.579029428319508
200,LEH,59.70646206266389,59.69251778582542,11.897909937345103
200,NNH,12.198604042386204,12.198604042386204,11.454231548548599
200,Random,20.91623056291981,20.75942525787259,11.810756453867524
200,SEH,11.60350047462842,11.60350047462842,11.509379031485306
